


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
公益財団法人海洋生物環境研究所  研究員の募集（専門分野 海洋生物学）  生物学 - 海洋生物学 -- 生物学 - 生物科学 -- 生物学 - 基礎生物学  常勤 (任期なし)  2021年03月05日
佐賀大学  准教授の公募（染色工芸）  複合領域 - 生活科学 -- その他 - 染色工芸  常勤 (任期なし)  2021年02月15日
長野工業高等専門学校  【長野高専】機械工学科（機械力学・計測制御分野，ロボティクス・メカトロニクス分野）教員の公募について  工学 - 機械工学  常勤 (任期なし)  2021年01月29日
長野工業高等専門学校  【長野高専】機械工学科（機械材料分野）教員の公募について  工学 - 機械工学  常勤 (任期なし)  2021年03月01日
常葉大学  法学部（経済学（ミクロ経済学））教授、准教授または講師  社会科学 - 経済学  常勤 (任期なし)  2021年02月19日
常葉大学  法学部（経済学（マクロ経済学））教授、准教授または講師  社会科学 - 経済学  常勤 (任期なし)  2021年02月19日
九州大学  助教公募（工学研究院 機械工学部門 材料力学講座）  工学 - 機械工学 -- 工学 - 材料工学  常勤 (任期なし)  2021年04月15日
北九州工業高等専門学校  国立北九州工業高等専門学校生産デザイン工学科一般科目（物理）准教授，講師もしくは助教の公募  数物系科学 - 物理学 -- 総合理工 - 応用物理学  常勤 (任期なし)  2021年02月05日
九州大学  准教授公募（九州大学 大学院工学研究院 機械工学部門 燃焼科学講座）  工学 - 機械工学  常勤 (任期なし)  2021年06月30日
名古屋大学  教授の公募（バイオエレクトロニクス分野）  工学 - 電気電子工学 -- 総合理工 - 応用物理学  常勤 (任期なし)  2021年02月19日
名古屋大学  助教または講師の公募（量子光エレクトロニクス分野）  工学 - 電気電子工学 -- 総合理工 - 応用物理学  常勤 (任期なし)  2021年03月31日
佐賀大学  准教授の公募（体育科学及び体育実技（柔道））  複合領域 - 健康・スポーツ科学  常勤 (任期なし)  2021年02月15日
北海道情報大学  北海道情報大学専任教員の募集（医療情報学科）  情報学 - 全て  常勤 (任期なし)  2021年02月18日
関東学院大学  専任講師、准教授または教授（国際文化論・国際交流論）  人文学 - 国際文化論・国際交流論 -- 総合人文社会 - 観光学  常勤 (任期なし)  2021年04月08日
株式会社KOALA Tech  R&Dマネージャー（有機半導体レーザー研究開発におけるプロジェクトマネージメント））  化学 - 有機・ハイブリット材料 -- 総合理工 - 応用物理学 -- 総合理工 - ナノ・マイクロ科学  常勤 (任期なし)  2021年06月30日
株式会社KOALA Tech  有機半導体レーザー 材料開発エンジニア募集  化学 - 有機・ハイブリット材料 -- 総合理工 - 応用物理学 -- 総合理工 - ナノ・マイクロ科学  常勤 (任期なし)  2021年06月30日
株式会社KOALA Tech  有機半導体レーザー デバイス開発エンジニア募集  化学 - 有機・ハイブリット材料 -- 総合理工 - 応用物理学 -- 社会科学 - ナノ・マイクロ科学  常勤 (任期なし)  2021年06月30日
独立行政法人日本貿易振興機構  【アジア経済研究所】2021/2022年度採用 研究職員（開発研究）の公募  社会科学 - 経済学  常勤 (任期なし)  2021年04月30日
石川工業高等専門学校  石川工業高等専門学校機械工学科教員公募  工学 - 機械工学  常勤 (任期なし)  2021年02月05日
福岡第一高等学校  国際バカロレア・ディプロマプログラム 担当者  化学 - 全て -- 数物系科学 - 数学  常勤 (任期なし)  2021年07月31日
金沢大学  教授，准教授又は講師の公募（ミクロ経済学）  社会科学 - 経済学  常勤 (任期なし)  2021年03月31日
京都府立大学  【公募期間延長】「住環境防災学」分野の准教授または講師（常勤）の公募  工学 - 建築学 -- 複合領域 - 生活科学  常勤 (任期なし)  2021年03月04日
合同会社ポイエーシス  研究開発センター　研究員　（細胞生物学研究担当あるいは製造担当）  化学 - 素材製造、合成、分析 -- 総合生物 - 細胞生物学、生化学、分子生物学 -- 医歯薬学 - 再生医療、幹細胞、動物実験  常勤 (任期なし)  2021年03月31日
神奈川大学  理学部　生物科学科「進化生物学」または「古生物学」教授または准教授公募  生物学 - 基礎生物学  常勤 (任期なし)  2021年04月16日
筑波大学  技術職員の公募（安全衛生管理）  その他 - 全て  常勤 (任期なし)  2021年02月26日
アニコム先進医療研究所株式会社  細胞培養職  生物学 - 生物科学 -- 農学 - 動物生命科学 -- 複合領域 - 全て  常勤 (任期なし)  2021年03月31日
日本大学  英語担当専任教員（教授）の公募（英米文学・英語教育学・英語学・地域研究など）  人文学 - 文学 -- 人文学 - 英語教育学、英語学 -- 人文学 - 地域研究  常勤 (任期なし)  2021年01月27日
弘前大学  「憲法」の教員公募について（准教授または助教）  社会科学 - 法学  常勤 (任期なし)  2021年05月07日
弘前大学  「日本史」の教員公募について（准教授または助教）  人文学 - 史学  常勤 (任期なし)  2021年05月14日
熊本大学  熊本大学大学院人文社会科学研究部教員公募【法学分野（法哲学・法思想史）】  社会科学 - 法学  常勤 (任期なし)  2021年03月31日
東京通信大学  専任教授･准教授の公募(心理学系)  社会科学 - 心理学  常勤 (任期なし)  2021年02月26日
国立社会保障・人口問題研究所  研究員（社会保障研究部門）の公募  社会科学 - 社会学 -- 社会科学 - 統計学  常勤 (任期なし)  2021年02月16日
Ｍ・Ｓ・Ｋ株式会社  エンジニアを募集 [宇宙研究開発グループ]  数物系科学 - 全て -- 工学 - 全て -- 情報学 - 全て  常勤 (任期なし)  2021年03月09日
Ｍ・Ｓ・Ｋ株式会社  エンジニアを募集 [宇宙研究開発グループ](画像解析)  数物系科学 - 全て -- 工学 - 全て -- 情報学 - 全て  常勤 (任期なし)  2021年03月09日
Ｍ・Ｓ・Ｋ株式会社  衛星の設計、運用及び衛星の利用技術者の応募  数物系科学 - 全て -- 工学 - 全て -- 総合理工 - 全て  常勤 (任期なし)  2021年03月09日
気象研究所  気象庁気象研究所　火山研究部研究官公募  数物系科学 - 地球惑星科学  常勤 (任期なし)  2021年02月12日
筑波大学附属久里浜特別支援学校  特別支援学校の養護教諭の公募  社会科学 - 教育学 -- 社会科学 - 特別支援教育  常勤 (任期なし)  2021年02月12日
東洋大学  教授の公募（「金融論」等）  社会科学 - 経済学  常勤 (任期なし)  2021年03月31日
株式会社シルクルネッサンス  研究リーダーの募集（創薬支援関連研究開発型ベンチャー）  生物学 - 全て -- 農学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年03月31日
株式会社シルクルネッサンス  研究員の募集（創薬支援関連研究開発型ベンチャー）  生物学 - 全て -- 農学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年03月31日
筑波大学  技術職員の公募（安全衛生管理）  その他 - 安全衛生管理に関する業務  常勤 (任期なし)  2021年02月26日
桐生大学  桐生大学医療保健学部栄養学科(臨床栄養学)に関する教員公募  複合領域 - 臨床栄養学分野  常勤 (任期なし)  2021年02月26日
桐生大学  桐生大学医療保健学部栄養学科（食べ物と健康分野）に関する教員公募  複合領域 - 食べ物と健康分野  常勤 (任期なし)  2021年02月26日
株式会社豊島製作所  セラミックス焼結材料の加工技術者もしくは技能工  工学 - 機械工学 -- 工学 - 材料工学 -- 化学 - 材料化学  常勤 (任期なし)  2021年05月31日
弓削商船高等専門学校  総合教育科（英語）助教もしくは准教授の公募  人文学 - 言語学 -- 人文学 - 文学  常勤 (任期なし)  2021年02月26日
立教大学  立教大学経営学部　准教授（ファイナンス関連領域）募集  社会科学 - 経済学 -- 社会科学 - 経営学  常勤 (任期なし)  2021年02月28日
関西学院大学  関西学院大学教育学部専任教員の公募【史学（日本と西洋の関係を中心とした近現代史）】  人文学 - 史学  常勤 (任期なし)  2021年03月14日
フロンティア・ラボ株式会社  R&D研究員（リーダー候補）の募集  化学 - 複合化学 -- 工学 - 総合工学 -- 工学 - プロセス工学・化学工学  常勤 (任期なし)  2021年06月30日
十文字学園女子大学  （期間延長）十文字学園女子大学 人間生活学部 食物栄養学科 専任教員の公募（栄養ケア・マネジメント領域）  複合領域 - 生活科学  常勤 (任期なし)  2021年02月15日
梅花女子大学  准教授または講師の募集（基礎看護学）  医歯薬学 - 看護学 -- その他 - 基礎看護学  常勤 (任期なし)  2021年03月01日
高知大学  高知大学教育学部教員公募（幼児教育学）  医歯薬学 - 内科系臨床医学 -- 社会科学 - 教育学  常勤 (任期なし)  2021年03月22日
早稲田大学  英語教育もしくは応用言語学（談話分析、語用論、またはELF研究）専任教員公募（早稲田大学教育・総合科学学術院英語英文学科）  人文学 - 英語教育 -- 人文学 - 応用言語学 -- 人文学 - 言語学  常勤 (任期なし)  2021年03月22日
宇部工業高等専門学校  宇部工業高等専門学校電気工学科（電力関連分野）教員公募  工学 - 電気電子工学  常勤 (任期なし)  2021年05月31日
自然科学研究機構国立天文台  ハワイ観測所（すばる望遠鏡）広報担当者募集  数物系科学 - 天文学  常勤 (任期なし)  2021年02月15日
株式会社メディアラート  ポスドク募集(医療データアナリスト)  社会科学 - 全て -- 農学 - 全て -- 複合領域 - 全て  常勤 (任期なし)  2021年05月31日
舞鶴工業高等専門学校  助教の公募（機械工学科）〔常勤（任期なし）〕  工学 - 機械工学  常勤 (任期なし)  2021年04月02日
名古屋女子大学  教員の公募について（生活環境学科　教育学）  社会科学 - 教育学  常勤 (任期なし)  2021年02月19日
名古屋女子大学  教員の公募について（児童教育学科　体育）  複合領域 - 健康・スポーツ科学 -- 複合領域 - 生活科学 -- 社会科学 - 教育学  常勤 (任期なし)  2021年02月19日
名古屋女子大学短期大学部  教員の公募について（保育学科、社会的養護）  社会科学 - 教育学 -- 複合領域 - 生活科学  常勤 (任期なし)  2021年02月19日
名古屋女子大学短期大学部  教員の公募について（保育学科、保育内容）  社会科学 - 教育学 -- 複合領域 - 生活科学  常勤 (任期なし)  2021年02月19日
名古屋女子大学短期大学部  教員の公募について（保育学科、保育原理）  社会科学 - 教育学 -- 複合領域 - 生活科学  常勤 (任期なし)  2021年02月19日
名古屋女子大学短期大学部  教員の公募について（保育学科、保育・教職実践演習）  社会科学 - 教育学 -- 複合領域 - 生活科学  常勤 (任期なし)  2021年02月19日
舞鶴工業高等専門学校  准教授、講師または助教の公募（人文科学部門）  人文学 - 言語学  常勤 (任期なし)  2021年03月01日
名古屋市立大学  教授または准教授の公募（数学-解析学）  数物系科学 - 数学  常勤 (任期なし)  2021年03月01日
京都大学  准教授公募（工学研究科 ナノ・マイクロシステム工学分野）  工学 - 機械工学 -- 総合理工 - ナノ・マイクロ科学  常勤 (任期なし)  2021年04月28日
大分県立芸術文化短期大学  准教授、講師または助教（フランス語・フランス文化）の公募について  人文学 - 言語学 -- 人文学 - 文学  常勤 (任期なし)  2021年04月28日
桐生大学  桐生大学医療保健学部栄養学科に関する教員公募  その他 - 管理栄養士養成に関する業務 -- 複合領域 - 生活科学  常勤 (任期なし)  2021年02月28日
東北生活文化大学  専任教員の公募（給食経営管理論分野）  複合領域 - 生活科学  常勤 (任期なし)  2021年03月01日
つくば国際短期大学  准教授・講師・助教の公募（保育教育分野）  複合領域 - 子ども学  常勤 (任期なし)  2021年02月12日
かなざわ食マネジメント専門職大学  助手の公募（家政関係）  複合領域 - 全て  常勤 (任期なし)  2021年03月31日
特許業務法人三枝国際特許事務所  化学・バイオ系　弁理士・特許技術者の募集  化学 - 全て -- 医歯薬学 - 薬学 -- 生物学 - 生物科学  常勤 (任期なし)  2021年03月31日
株式会社サイキンソー  技術員の募集【株式会社サイキンソー】  医歯薬学 - 全て -- 生物学 - 生物科学 -- 総合生物 - ゲノム科学  常勤 (任期なし)  2021年03月31日
名古屋女子大学  教員の公募について（健康栄養学科　栄養教育論）  複合領域 - 生活科学  常勤 (任期なし)  2021年02月19日
清水建設株式会社  民間企業の研究員（建築材料、工構法分野）  工学 - 建築学  常勤 (任期なし)  2021年03月05日
愛知淑徳大学  愛知淑徳大学　初年次教育部門　特定教育職員（教授、准教授、専任講師）の公募  人文学 - 日本語表現（文章指導） -- 人文学 - 言語学 -- 人文学 - 文学  常勤 (任期なし)  2021年02月19日
