


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
国立研究開発法人国立精神・神経医療研究センター  遺伝子疾患治療研究部　リサーチフェロー（非常勤職員）の公募について（No.1116）　　  医歯薬学 - 全て -- 総合生物 - 神経科学  非常勤 (任期あり)  2021年03月31日
国立研究開発法人国立精神・神経医療研究センター  認知行動療法センター　研究員（非常勤職員）の公募について（No.1010）　　  医歯薬学 - 全て -- 総合生物 - 神経科学  非常勤 (任期あり)  2021年03月31日
独立行政法人国立文化財機構  独立行政法人国立文化財機構東京文化財研究所アソシエイトフェローの募集（文化遺産保護分野）  複合領域 - 文化財科学・博物館学  非常勤 (任期あり)  2021年02月16日
大谷大学  大谷大学・大谷大学短期大学部　学習支援主任アドバイザー  人文学 - 全て -- 総合人文社会 - 全て -- 社会科学 - 全て  非常勤 (任期あり)  2021年02月01日
大谷大学  大谷大学・大谷大学短期大学部　学習支援アドバイザー  人文学 - 全て -- 総合人文社会 - 全て -- 社会科学 - 全て  非常勤 (任期あり)  2021年02月08日
総合学園ヒューマンアカデミーチャイルドケアカレッジ  非常勤講師　（教育・保育・看護・社会福祉の分野）　複数名  複合領域 - 子ども学 -- 社会科学 - 教育学 -- 社会科学 - 心理学  非常勤 (任期あり)  2021年02月28日
国立研究開発法人土木研究所  国立研究開発法人土木研究所　専門研究員公募（水災害研究グループ）  工学 - 土木工学  非常勤 (任期あり)  2021年02月24日
独立行政法人国立文化財機構  東京国立博物館アソシエイトフェロー（日本考古）  人文学 - 史学 -- 複合領域 - 文化財科学・博物館学 -- 人文学 - 芸術学  非常勤 (任期あり)  2021年03月24日
独立行政法人国立文化財機構  東京国立博物館アソシエイトフェロー（博物館環境の保全）  人文学 - 史学 -- 複合領域 - 文化財科学・博物館学 -- 人文学 - 芸術学  非常勤 (任期あり)  2021年02月26日
開智国際大学  非常勤講師の公募 「人間工学」  複合領域 - 全て -- 工学 - 複合工学  非常勤 (任期あり)  2021年02月12日
国立研究開発法人理化学研究所  研究パートタイマー募集（R-CCS-P2005）（プロセッサ研究チーム）  工学 - 全て -- 総合理工 - 計算科学 -- 情報学 - 計算機科学  非常勤 (任期あり)  2022年01月25日
桜美林大学  コンピュータリテラシーⅠ非常勤講師募集  工学 - 情報工学、他 -- 情報学 - 情報学基礎 -- 社会科学 - 教育学  非常勤 (任期あり)  2021年02月22日
四條畷学園短期大学  ライフデザイン総合学科　非常勤講師の公募  社会科学 - 教育学  非常勤 (任期あり)  2021年02月12日
久留米大学  英語担当 非常勤講師の募集  人文学 - 英語教育、応用言語学、または英語関連分野  非常勤 (任期あり)  2021年02月10日
京都女子大学  非常勤講師の公募について〔京都女子大学文学部外国語準学科〕  人文学 - ドイツ語学、ドイツ文学、ドイツ史等のドイツ関連分野  非常勤 (任期あり)  2021年02月12日
武蔵野星城高等学校  ALT(外国語授業補助）  社会科学 - 教育学  非常勤 (任期あり)  2021年03月19日
大原医療福祉＆スポーツ保育専門学校姫路校  講師の募集【ＣＧ・映像制作コース】（Softimage、Maya、3ds Max）  情報学 - 全て  非常勤 (任期あり)  2021年03月31日
東京医科歯科大学  技術補佐員の公募（メディシナルケミストリー分野）  化学 - 有機化学 -- 医歯薬学 - 薬学 -- 複合領域 - ケミカルバイオロジー  非常勤 (任期あり)  2021年02月28日
京都大学  医学研究科遺伝医学講座分子遺伝学分野 技術補佐員の公募  総合生物 - 全て -- 医歯薬学 - 全て -- 農学 - 全て  非常勤 (任期あり)  2021年02月26日
デジタルハリウッド大学  デジタルハリウッド大学デジタルコミュニケーション学部デジタルコンテンツ学科「（教養科目）日本文化史」担当教員(非常勤講師)の募集  人文学 - 史学  非常勤 (任期あり)  2021年02月13日
鴻池学園高等専修学校  高等専修学校教員の公募(高等学校国語) <非常勤>  人文学 - 言語学  非常勤 (任期あり)  2021年03月31日
鴻池学園高等専修学校  高等専修学校教員の公募(情報)非常勤教員募集  社会科学 - 情報  非常勤 (任期あり)  2021年03月31日
環太平洋大学  非常勤講師の公募（英会話（福岡））  社会科学 - 教育学  非常勤 (任期あり)  2021年02月12日
環太平洋大学  非常勤講師の公募（上級ｵｰﾗﾙｺﾐｭﾆｹｰｼｮﾝⅠ・Ⅱ（関西））  社会科学 - 教育学  非常勤 (任期あり)  2021年02月12日
大阪府立大学  博士研究員、非常勤研究員 募集（次世代電池、全固体電池、無機材料）のお知らせ  化学 - 全て -- 工学 - 全て  非常勤 (任期あり)  2021年05月31日
麻布大学  麻布大学　生命・環境科学部　臨床検査技術学科 「基礎科学英語」非常勤講師1人の公募  人文学 - 言語学 -- 人文学 - 英語教育  非常勤 (任期あり)  2021年02月15日
麻布大学  生命・環境科学部 臨床検査技術学科 「基礎英語」（前期）及び「英語講読I」（後期）非常勤講師1人の公募  人文学 - 言語学 -- 人文学 - 英語教育  非常勤 (任期あり)  2021年02月15日
麻布大学  生命・環境科学部 食品生命科学科 「基礎英語」（前期）及び「基礎科学英語」（後期）非常勤講師1人の公募  人文学 - 言語学 -- 人文学 - 英語教育  非常勤 (任期あり)  2021年02月15日
宇都宮大学  保健管理センター非常勤講師募集（カウンセラー、スクール・ソーシャルワーカー）  社会科学 - 心理学  非常勤 (任期あり)  2021年02月15日
順天堂大学  認知機能検査テスター（任期付き事務員）  医歯薬学 - 全て -- 社会科学 - 心理学  非常勤 (任期あり)  2021年02月18日
国立研究開発法人物質・材料研究機構  研究業務員 (任期制)募集（表界面物理計測グループ）  総合理工 - 応用物理学  非常勤 (任期あり)  2021年04月27日
公益財団法人福岡アジア都市研究所  嘱託職員（国際視察・研修受入事業運営）  人文学 - 全て -- 社会科学 - 全て -- 総合人文社会 - 全て  非常勤 (任期あり)  2021年02月10日
公益財団法人福岡アジア都市研究所  嘱託職員（資料室）  人文学 - 全て -- 社会科学 - 全て -- 総合人文社会 - 全て  非常勤 (任期あり)  2021年02月10日
横浜保育福祉専門学校  非常勤講師募集【保育分野・国語科目】  複合領域 - 子ども学 -- 社会科学 - 教育学  非常勤 (任期あり)  2021年03月31日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ短時間研究員公募 (公募No.2021R-98)「テラヘルツ帯超高速変調信号の発生と計測」  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  非常勤 (任期あり)  2021年02月17日
群馬大学  未来先端研究機構　技術補佐員（非常勤）の公募  総合生物 - ゲノム科学 -- 生物学 - 生物科学 -- 医歯薬学 - 基礎医学  非常勤 (任期あり)  2021年02月28日
内閣府  技術参与（非常勤一般職国家公務員）（リスク評価の業務補助（農薬））の募集  農学 - 全て -- 生物学 - 全て  非常勤 (任期あり)  2021年02月03日
内閣府  技術参与（非常勤一般職国家公務員）（リスク評価の業務補助（農薬・疫学））の募集  農学 - 農芸化学 -- 生物学 - 全て -- 医歯薬学 - 全て  非常勤 (任期あり)  2021年02月03日
大東文化大学  非常勤講師の応募（環境科学）  環境学 - 環境科学  非常勤 (任期あり)  2021年02月12日
東京リゾートアンドスポーツ専門学校  非常勤講師の公募（保育士養成における保健分野）  その他 - 専門学校における保育士養成 -- 医歯薬学 - 看護学 -- 複合領域 - 子ども学  非常勤 (任期あり)  2021年02月28日
株式会社細胞工学研究所  実験補助員募集(研究開発)  生物学 - 生物科学  非常勤 (任期あり)  2021年06月30日
国立研究開発法人産業技術総合研究所  中小企業連携コーディネータ（契約職員）の募集  その他 - 企業連携  非常勤 (任期あり)  2021年03月31日
名古屋市衛生研究所  会計年度任用職員（月額制内部事務員）の募集（感染症・微生物分野）  医歯薬学 - 微生物学 -- 総合生物 - ゲノム科学 -- 生物学 - 生物科学  非常勤 (任期あり)  2021年02月12日
京都大学  教務補佐員または技術補佐員（時間雇用職員）公募【京都大学医学研究科　医学研究支援センター　合成展開支援室】  生物学 - 全て -- 医歯薬学 - 全て -- 化学 - 全て  非常勤 (任期あり)  2021年07月15日
昭和大学  昭和大学医学部・研究補助員・パートタイマー募集  医歯薬学 - 全て -- 生物学 - 全て -- 総合生物 - 全て  非常勤 (任期あり)  2021年03月31日
宇都宮大学  バイオサイエンス教育研究センター 特任技術職員の募集  生物学 - 生物科学  非常勤 (任期あり)  2021年02月26日
姫路医療専門学校  臨床工学技士科 工学系、システム系 非常勤講師  工学 - 全て -- 情報学 - 全て  非常勤 (任期あり)  2021年03月31日
慶應義塾志木高等学校  「世界史Ｂ」担当講師（非常勤）の募集について  人文学 - 史学 -- 社会科学 - 全て  非常勤 (任期あり)  2021年01月29日
帝京大学  帝京大学宇都宮キャンパス学習支援室の学習支援（化学）、及び「基礎化学」を担当する非常勤講師の公募  社会科学 - 教育学 -- 化学 - 基礎化学  非常勤 (任期あり)  2021年02月27日
帝京大学  帝京大学　医療技術学部　柔道整復学科　教職課程科目「スポーツ方法実習（ダンス）」を担当する非常勤講師の公募  社会科学 - 教育学 -- 複合領域 - 健康・スポーツ科学  非常勤 (任期あり)  2021年02月27日
帝京大学  帝京大学宇都宮キャンパス総合基礎科目「文章表現法」を担当する非常勤講師の公募  人文学 - 言語学 -- 人文学 - 日本文化 -- 人文学 - 言語学  非常勤 (任期あり)  2021年02月27日
星槎道都大学  非常勤講師の公募（国際法）  社会科学 - 法学  非常勤 (任期あり)  2021年02月15日
東京電機大学  埼玉鳩山キャンパス学生相談室非常勤カウンセラー募集  社会科学 - 心理学  非常勤 (任期あり)  2021年02月20日
東京工業大学  特任専門員（未来人材育成部門キャリアアドバイザー）  その他 - キャリア開発 -- 社会科学 - 社会学 -- 社会科学 - 教育学  非常勤 (任期あり)  2021年02月12日
東京工業大学  技術支援員募集 (東京工業大学 野田研究室)  総合生物 - 神経科学 -- 生物学 - 基礎生物学 -- 総合生物 - 実験動物学  非常勤 (任期あり)  2021年02月26日
戸板女子短期大学  非常勤講師　1名  【専門分野】 子ども学、保育学　公募  複合領域 - 子ども学  非常勤 (任期あり)  2021年02月22日
武蔵野栄養専門学校  栄養系 非常勤講師 １名  複合領域 - 生活科学 -- 複合領域 - 栄養学 -- 複合領域 - 食生活科学  非常勤 (任期あり)  2021年03月31日
東京工業大学  研究・産学連携本部URAの公募（産学連携推進業務（バイオテクノロジー・ライフサイエンス分野））  その他 - URA　産学連携推進業務（バイオテクノロジー・ライフサイエンス分野）  非常勤 (任期あり)  2021年02月25日
東京大学  学術専門職員（非常勤）募集（ゲノム再生研究分野）  生物学 - 基礎生物学 -- 生物学 - 生物科学 -- 医歯薬学 - 境界医学  非常勤 (任期あり)  2021年02月15日
横浜保育福祉専門学校  非常勤講師募集【保育系科目】  複合領域 - 子ども学 -- 社会科学 - 教育学  非常勤 (任期あり)  2021年03月31日
東京福祉大学  非常勤講師の公募（社会福祉分野 池袋キャンパス、王子キャンパス勤務）  社会科学 - 社会学  非常勤 (任期あり)  2021年02月10日
東京工科大学  学修⽀援センター指導員（⾮常勤）の公募【英語】  人文学 - 言語学 -- 社会科学 - 教育学  非常勤 (任期あり)  2021年02月17日
東京工科大学  学修⽀援センター指導員（⾮常勤）の公募【大学数学物理】  数物系科学 - 数学 -- 数物系科学 - 物理学 -- 総合理工 - 応用物理学  非常勤 (任期あり)  2021年02月17日
麻布大学  生命・環境科学部 「基礎数学」非常勤講師1人の公募  数物系科学 - 数学 -- 情報学 - 情報学基礎 -- 数物系科学 - 物理学  非常勤 (任期あり)  2021年02月15日
環太平洋大学  非常勤講師の公募（教育心理・発達心理・教育相談分野 ）  社会科学 - 教育学  非常勤 (任期あり)  2021年02月12日
独立行政法人国立美術館  独立行政法人国立美術館 国立映画アーカイブ　特定研究員（学芸課映画室（Ａ））の公募  人文学 - 芸術学 -- 人文学 - 映画学 -- 情報学 - 映画・映像のデジタル・アーカイブ  非常勤 (任期あり)  2021年02月12日
国立研究開発法人理化学研究所  研究パートタイマー募集（W20260）(バイオ高分子研究チーム)  生物学 - 全て -- 化学 - 全て  非常勤 (任期あり)  2022年01月29日
宇都宮大学  バイオサイエンス教育研究センター 技術補佐員の募集  生物学 - 生物科学  非常勤 (任期あり)  2021年03月05日
梅花女子大学  非常勤実習指導助手の募集（母性看護学、在宅看護学、基礎看護学、総合実習、成人看護学、老年看護学、精神看護学、小児看護学）  医歯薬学 - 看護学 -- その他 - 母性看護学、在宅看護学、総合実習、基礎看護学、成人看護学、老年看護学、小児看護学、精神看護学  非常勤 (任期あり)  2021年03月31日
東京大学  研究員/研究補助員募集（バイオ系）  生物学 - 全て -- 農学 - 全て -- 医歯薬学 - 全て  非常勤 (任期あり)  2021年02月08日
石川県立大学  研究補助員募集（マウス実験補助）  農学 - 全て -- 生物学 - 全て -- 医歯薬学 - 全て  非常勤 (任期あり)  2021年05月31日
東北大学  東北大学未来科学技術共同研究センター　技術補佐員公募  総合理工 - 全て  非常勤 (任期あり)  2021年04月30日
和歌山県立医科大学  【実験助手募集】和歌山県立医科大学 内科学第三講座  医歯薬学 - 基礎医学 -- 生物学 - 基礎生物学 -- 総合生物 - 腫瘍学  非常勤 (任期あり)  2021年03月31日




==== TENURE  Full-time (Nontenured)  ===== 
Hiroshima Bunkyo University  English Language Lecturer at the Bunkyo English Communication Center  Humanities/ Social sciences - All Humanities/ Social sciences -- Humanities - All Humanities  Full-time (Nontenured)  2021年01月27日
RIKEN(The Institute of Physical and Chemical Research)  Seeking a few Technical staff I (W20248)(Theoretical Quantum Physics Laboratory,)  Mathematical and physical sciences - Physics -- Interdisciplinary science and engineering - Computational science -- Complex systems - All Complex systems  Full-time (Nontenured)  2022年01月18日
BOKU Wien - Department of Nanobiotechnology  [MSCA]Marie Skłodowska-Curie ITN "STIMULUS" Early StageResearcher/PhD position  Chemistry - All Chemistry -- Engineering - All Engineering  Full-time (Nontenured)  2021年02月01日
BOKU Wien - Department of Nanobiotechnology  [MSCA]Marie Skłodowska-Curie ITN "STIMULUS" Early StageResearcher/PhD position  Mathematical and physical sciences - All Mathematical and physical science -- Engineering - All Engineering  Full-time (Nontenured)  2021年02月01日
Maastricht University  [MSCA]15 Early Stage Researcher positions as part of the H2020 MSCA ETN project EvoGamesPlus  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年03月31日
SPW recherche (Walloon ministry of research)  [MSCA]Experienced researcher  Mathematical and physical sciences - All Mathematical and physical science -- Biological Sciences - All Biological Science -- Biology - All Biology  Full-time (Nontenured)  2021年04月02日
CNRS  [ERC]M/W Researcher in ALD of ruthenium oxide for micro-supercapacitor application  Chemistry - All Chemistry -- Mathematical and physical sciences - All Mathematical and physical science -- Others - All Others  Full-time (Nontenured)  2021年01月25日
Slovak University of Technology  [MSCA]EU project ESR / PhD student in Applied Mathematics  Mathematical and physical sciences - All Mathematical and physical science -- Informatics - All Informatics  Full-time (Nontenured)  2021年01月31日
CNRS  [ERC]Post-Doctoral_Large Deviations and Large Random Matrices  Mathematical and physical sciences - All Mathematical and physical science -- Others - All Others  Full-time (Nontenured)  2021年01月25日
Tohoku University  Recruitment of assistant professor or postdoctoral researcher (Frontier Research in Duo Project "Multi-Sensory Flexible Skin"), AIMR, Tohoku University  Interdisciplinary science and engineering - Nano/ Micro science -- Engineering - Mechanical engineering -- Engineering - Electrical and electronic engineering  Full-time (Nontenured)  2021年02月12日
University of Stuttgart  [ERC]PhD Student/Research Assistant at University of Stuttgart/ Department of Computer Science, Software Lab  Engineering - All Engineering  Full-time (Nontenured)  2021年02月05日
CNRS  [ERC]PostDoctoral position in the experimental or numerical characterization of nano-particles production in turbulent flames (M/F)  Engineering - All Engineering -- Chemistry - All Chemistry -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年01月26日
CNRS  [ERC]Postdoc M/F Characterization of a quantum gas microscope  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年01月28日
University of Warsaw  [ERC]Postdoctoral positions (2)  Informatics - All Informatics -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月09日
University of Deusto  [ERC]ERC DyCon Postdoctoral position  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月05日
CNRS  [ERC]Postdoctoral researcher in quantum certification (H/F).  Informatics - All Informatics -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年01月29日
Karlsruhe Institute of Technology  [ERC]PhD Student in Machine Learning for Energy-Efficient Communication Systems  Engineering - All Engineering -- Informatics - All Informatics -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月12日
Karlsruhe Institute of Technology  [ERC]PostDoc in Information Theory for Energy-Efficient Communications  Engineering - All Engineering -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月12日
Bilkent University  [ERC]ERC-Funded Postdoctoral Position on Laser Physics at Bilkent University  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年06月01日
CNRS  [ERC]phd : Research of circumstellar discs in direct imaging (H/F)  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月02日
CNRS  [ERC]Thesis : detection in direct imaging and the characterisation of extrasolar planets (H/F)  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月02日
University of Warsaw  [ERC]Postdoctoral position  Informatics - All Informatics -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月15日
CNRS  [ERC]-Post-doc (H/F) "Ultra-strong light-matter coupling in quantum detectors"  Engineering - All Engineering -- Mathematical and physical sciences - All Mathematical and physical science -- Others - All Others  Full-time (Nontenured)  2021年02月03日
Karlsruhe Institute for Technology (KIT)  [MSCA]ESR (early stage researcher) for intelligent quality control cycles in Industry 4.0 process chains enabled by machine learning  Engineering - All Engineering  Full-time (Nontenured)  2021年02月28日
Karlsruhe Institute for Technology (KIT)  [MSCA]ESR (early stage researcher) for Cloud-based automated negotiation mechanism for Supply Chain 4.0 horizontal integration  Engineering - All Engineering -- Informatics - All Informatics  Full-time (Nontenured)  2021年02月28日
Delft University of Technology  [MSCA]15 PhD positions as part of DCODE (H2020 MSCA)  Humanities - All Humanities -- Engineering - All Engineering -- Informatics - All Informatics  Full-time (Nontenured)  2021年02月14日
ITN INSPIRE European Training Network in Safety Pharmacology  [MSCA]INSPIRE Marie Curie fellow: Developer Engineer (PhD candidate OPTIONAL)  Informatics - All Informatics -- Mathematical and physical sciences - All Mathematical and physical science -- Engineering - All Engineering  Full-time (Nontenured)  2021年02月20日
NUMECA Int  [MSCA]ESR11 - High fidelity simulations of a transitional flow over a tri-dimensional wing by means of high-fidelity methods  Engineering - All Engineering  Full-time (Nontenured)  2021年02月04日
ISEP - INSTITUTO SUPERIOR DE ENGENHARIA DO PORTO  [MSCA]1 Early Stage Researcher (ESRs) position at Instituto Superior de Engenharia do Porto – ISEP  to carry out PhD thesis within the IoTalentum project  Engineering - All Engineering  Full-time (Nontenured)  2021年02月01日
CNRS  [MSCA]PhD (H/F) - Explorer la fonction des foyers préhistoriques par des approches biomoléculaires  Others - All Others -- Humanities - All Humanities -- Environmental science - All Environmental science  Full-time (Nontenured)  2021年01月27日
CNRS  [MSCA]PhD (H/F) - Recovering proteins from prehistoric pottery using immunological and proteomic approaches (Nice/Copenhagen)  Others - All Others -- Humanities - All Humanities -- Environmental science - All Environmental science  Full-time (Nontenured)  2021年01月27日
CNRS  [MSCA]Tracking adhesive technologies from the Late Glacial to Holocene (Nice/York/British Museum)  Others - All Others -- Humanities - All Humanities -- Environmental science - All Environmental science  Full-time (Nontenured)  2021年01月27日
Universitat Pompeu Fabra - ETIC  [MSCA]Call for PhD Candidate Vacancies - ITN-ETN Disc4All  Engineering - All Engineering  Full-time (Nontenured)  2021年03月20日
EPFL  [MSCA]One-year Research Assistant on Wind Farm – Atmosphere Interactions  Engineering - All Engineering  Full-time (Nontenured)  2021年02月08日
Universidad de Alicante  [MSCA]Fully funded PhD position in computer vision, privacy preservation and assisted living  Informatics - All Informatics -- Engineering - All Engineering  Full-time (Nontenured)  2021年03月31日
visuAAL H2020 MSCA-ITN-ETN Project  [MSCA]6 PhD positions as part of the H2020 MSCA ETN visuAAL - Privacy-Aware and Acceptable Video-Based Technologies and Services for Active and Assisted Living  Engineering - All Engineering -- Medicine, dentistry, and pharmacy - All Medicine,dentistry,and pharmacy -- Social sciences - All Social science  Full-time (Nontenured)  2021年03月31日
University of Bern  [MSCA]Early Stage Researcher (PhD candidate) in Climate Science to study the geochemical composition of single dust particles in ice cores  Mathematical and physical sciences - All Mathematical and physical science -- Environmental science - All Environmental science -- Chemistry - All Chemistry  Full-time (Nontenured)  2021年03月14日
PLEGMA LABS  [MSCA]Funded Early Stage Researcher under the H2020 MSCA-ITN Gecko project in the field of Energy Data Machine Learning  Engineering - All Engineering  Full-time (Nontenured)  2021年02月28日
University of Torino  [MSCA]2 PhD "Marie Curie" PhD positions on quantum technologies and bio-sensing @ UniTorino  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月07日
University of Bern  [MSCA]Early Stage Researcher (PhD candidate) in Climate Science to study the isotopic composition of nitrous oxide in ice cores  Mathematical and physical sciences - All Mathematical and physical science -- Environmental science - All Environmental science -- Chemistry - All Chemistry  Full-time (Nontenured)  2021年03月14日
AMO GmbH  [MSCA]PhD student / Early Stage Researcher  Mathematical and physical sciences - All Mathematical and physical science -- Engineering - All Engineering  Full-time (Nontenured)  2021年02月28日
ICFO - The Institute of Photonic Sciences  [MSCA]PhD positions available within the MSCA-ITN-EID “Nano-structured glass for future display and communication technologies” (NANO GLASS)  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月14日
Cardiff University  [MSCA]2x positions as Marie Curie Early Stage Researchers/PhDs on the fabrication of quantum emitters in Cardiff University  Engineering - All Engineering  Full-time (Nontenured)  2021年04月09日
Università degli Studi Milano Bicocca  [MSCA]13 PhD positions as part of the MSC-ITN “Smart surface design for efficient ice protection and control” (SURFICE)  Engineering - All Engineering -- Others - All Others  Full-time (Nontenured)  2021年03月31日
FluidNET: Innovative Training Network Consortium coordinated from Vrije Universiteit Amsterdam  [MSCA]12 PhD research positions in fluid-rock interaction studies of the Continental Crust  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年03月01日
ETH Zurich  [MSCA]Four PhD Positions at ETH Zurich: MSCA ITN "BioTrib"  Engineering - All Engineering  Full-time (Nontenured)  2021年02月28日
CNRS - LSCE  [MSCA]DEEPICE - 15 PhD research positions in ice core-related climate science available for Early Stage Researchers (ESR)  Environmental science - All Environmental science -- Chemistry - All Chemistry -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年03月31日
RWTH Aachen University  [MSCA]ESR fellow within the Marie Sklodowska-Curie project xCTing  Informatics - All Informatics -- Mathematical and physical sciences - All Mathematical and physical science -- Engineering - All Engineering  Full-time (Nontenured)  2021年03月31日
CNRS  [MSCA]Marie Curie COFUND PhD on colloidal heteronanostructures  Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年02月06日
University of Deusto  [MSCA]Pre-Doctoral Research Position in Engineering: Advanced Localization Techniques on Smart Devices for a Connected, Accessible and Inclusive Society  Informatics - All Informatics -- Engineering - All Engineering -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on VALUE CHANGE ON BEGINNING AND END OF LIFE ISSUES  Social sciences - All Social science -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on Towards the Circular Economy  Engineering - All Engineering -- Environmental science - All Environmental science -- Social sciences - All Social science  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on PHYSICAL ACTIVITY, BIOHEALTHY PARKS AND NEW TECHNOLOGIES  Informatics - All Informatics -- Engineering - All Engineering -- Medicine, dentistry, and pharmacy - All Medicine,dentistry,and pharmacy  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on NEW ELECTROMAGNETIC FUNCTIONAL MATERIALS FOR BIOMEDICAL DEVICES  Informatics - All Informatics -- Engineering - All Engineering -- Medicine, dentistry, and pharmacy - All Medicine,dentistry,and pharmacy  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on LEVERAGING EMERGING DATA SOURCES AND ARTIFICIAL INTELLIGENCE FOR IMPROVING TRANSPORT SUSTAINABILITY  Informatics - All Informatics -- Engineering - All Engineering -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on IMPACT OF TECHNOLOGIES ON GENDER EQUALITY AND HUMAN RIGHTS  Others - All Others -- Engineering - All Engineering -- Informatics - All Informatics  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - 9 Marie Skłodowska-Curie Pre-Doctoral Research Positions at the University of Deusto  Others - All Others -- Engineering - All Engineering -- Informatics - All Informatics  Full-time (Nontenured)  2021年02月13日
University of Deusto  [MSCA]6i Dirs - PhD researcher on ADVANCED LOCALIZATION TECHNIQUES ON SMART DEVICES FOR A CONNECTED, ACCESSIBLE AND INCLUSIVE SOCIETY  Informatics - All Informatics -- Engineering - All Engineering  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on BIG DATA FOR PERSONALIZED EINCLUSION USING COMPUTER GAMING TECHNOLOGICAL TOOLS  Informatics - All Informatics -- Engineering - All Engineering -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on CAUSAL MODELING FOR UNDERSTANDING OF THE ENERGY DEMAND ON THE RESIDENTIAL AND SERVICE SECTORS  Engineering - All Engineering -- Environmental science - All Environmental science -- Others - All Others  Full-time (Nontenured)  2021年02月13日
University of Deusto  [MSCA]6i Dirs - PhD researcher on COMPUTATIONAL FLUID DYNAMICS AND DISCRETE ELEMENT MODELLING STUDY OF METALLIC POWDER FLOW CHARACTERISTICS IN LASER METAL DEPOSITION  Engineering - All Engineering -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on CONTROL AND REINFORCEMENT LEARNING IN STOCHASTIC PROCESSES  Others - All Others -- Mathematical and physical sciences - All Mathematical and physical science  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on DIGITALISATION AT THE CROSSROAD OF SOCIAL INNOVATION AND EMPLOYMENT: CONTRIBUTING TO THE IMPLEMENTATION OF THE EUROPEAN PILLAR OF SOCIAL RIGHTS AND THE -- UN2030 AGENDA  Social sciences - All Social science -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on NUMERICAL AND EXPERIMENTAL ANALYSIS OF THE SURFACE ENERGY OF COHESIVE POWDERS AND ITS INFLUENCE ON ADDITIVE MANUFACTURING PROCESSES  Engineering - All Engineering -- Environmental science - All Environmental science -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Deusto  [MSCA]6i Dirs - PhD researcher on GENDER REPRESENTATIONS IN AUDIOVISUAL PRODUCTIONS  Engineering - All Engineering -- Others - All Others  Full-time (Nontenured)  2021年03月05日
University of Augsburg  [MSCA]Macro and Microplastic in Agricultural Soil Systems - SOPLAS  Biological Sciences - All Biological Science -- Biology - All Biology -- Chemistry - All Chemistry  Full-time (Nontenured)  2021年01月31日
